Species,Antigen,Clone,Catalog no.,Flurochrome,Product name,Acetone human,4% PFA human,FFPE human,FFPE human RNAsky,Acetone mouse,4% PFA mouse,FFPE mouse,Gene names,Antibody type,Company
human,Lamin A/C,REAL592,130-132-304,Vio R667,"Lamin A/C Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,LMNA; CDCD1; CDDC; CMD1A; CMT2B1; EMD2; FPL; FPLD; FPLD2; HGPS; IDC; LDP1; LFP; LGMD1B; LMN1; LMNC; LMNL1; MADA; PRO1; DHE,REAL,Miltenyi
human,Lamin B1,REAL1073,130-128-143,APC,"Lamin B1 Antibody, anti-human, REAdye_lease™",no,no,yes,yes,,,,LMNB1; LMN; ADLD; LMN2; LMNB; MCPH26,REAL,Miltenyi
human,Lamin B1,REAL1073,130-128-147,PE,"Lamin B1 Antibody, anti-human, REAdye_lease™",no,no,yes,yes,,,,LMNB1; LMN; ADLD; LMN2; LMNB; MCPH26,REAL,Miltenyi
human,LRP-4,REA552,130-132-434,APC,"LRP-4 Antibody, anti-human, REAfinity™",no,yes,yes,,,,,CLSS; CMS17; LRP-4; LRP10; LRP4; MEGF7; SOST2,REA,Miltenyi
human,LRP-4,REA552,130-126-528,PE,"LRP-4 Antibody, anti-human, REAfinity™",no,yes,yes,,,,,CLSS; CMS17; LRP-4; LRP10; LRP4; MEGF7; SOST2,REA,Miltenyi
mouse,LT-βR,REA416,130-106-594,APC,"LT-βR Antibody, anti-mouse, REAfinity™",,,,,yes,no,,AI256028; CD18; LTAR; LTBETAR; LTBR; TNF-R-III; TNFBR; TNFCR; TNFR-RP; TNFR2-RP; TNFRRP; TNFRSF3,REA,Miltenyi
mouse,LT-βR,REA416,130-106-593,PE,"LT-βR Antibody, anti-mouse, REAfinity™",,,,,yes,no,,AI256028; CD18; LTAR; LTBETAR; LTBR; TNF-R-III; TNFBR; TNFCR; TNFR-RP; TNFR2-RP; TNFRRP; TNFRSF3,REA,Miltenyi
human,Luteinizing Hormone,REAL738,130-126-570,APC,"Luteinizing Hormone Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,CGA; CG-ALPHA; FSHA; GPA1; GPHA1; GPHa; HCG; LHA; TSHA; LHB; CGB4; HH23; LSH-B; LSH-beta,REAL,Miltenyi
human,Luteinizing Hormone,REAL738,130-126-574,PE,"Luteinizing Hormone Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,CGA; CG-ALPHA; FSHA; GPA1; GPHA1; GPHa; HCG; LHA; TSHA; LHB; CGB4; HH23; LSH-B; LSH-beta,REAL,Miltenyi
mouse,Ly-49A/D,REA853,130-112-939,APC,"Ly-49A/D Antibody, anti-mouse, REAfinity™",,,,,yes,,,KLRA1; A1; CH29-493D4.3; KLRA22; LY49A; LY49O<129>; LY49V; KLRA4; CHOK; KLRA32; KLRA33; LY-49D; LY49D; LY49R<129>,REA,Miltenyi
mouse,Ly-49A/D,REA853,130-112-937,FITC,"Ly-49A/D Antibody, anti-mouse, REAfinity™",,,,,yes,,,KLRA1; A1; CH29-493D4.3; KLRA22; LY49A; LY49O<129>; LY49V; KLRA4; CHOK; KLRA32; KLRA33; LY-49D; LY49D; LY49R<129>,REA,Miltenyi
mouse,Ly-49A/D,REA853,130-112-938,PE,"Ly-49A/D Antibody, anti-mouse, REAfinity™",,,,,yes,,,KLRA1; A1; CH29-493D4.3; KLRA22; LY49A; LY49O<129>; LY49V; KLRA4; CHOK; KLRA32; KLRA33; LY-49D; LY49D; LY49R<129>,REA,Miltenyi
mouse,Ly-49D,4E5,130-102-368,APC,"Ly-49D Antibody, anti-mouse",,,,,yes,no,,CHOK; KLRA32; KLRA33; KLRA4; LY-49D; LY49D; LY49R<129>,Hybridoma,Miltenyi
mouse,Ly-49D,4E5,130-102-320,FITC,"Ly-49D Antibody, anti-mouse",,,,,yes,no,,CHOK; KLRA32; KLRA33; KLRA4; LY-49D; LY49D; LY49R<129>,Hybridoma,Miltenyi
mouse,Ly-49D,4E5,130-102-416,PE,"Ly-49D Antibody, anti-mouse",,,,,yes,no,,CHOK; KLRA32; KLRA33; KLRA4; LY-49D; LY49D; LY49R<129>,Hybridoma,Miltenyi
mouse,Ly-49D,REA1020,130-117-254,APC,"Ly-49D Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CHOK; KLRA32; KLRA33; KLRA4; LY-49D; LY49D; LY49R<129>,REA,Miltenyi
mouse,Ly-49D,REA1020,130-117-253,PE,"Ly-49D Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CHOK; KLRA32; KLRA33; KLRA4; LY-49D; LY49D; LY49R<129>,REA,Miltenyi
mouse,Ly-49E/F,REA218,130-102-698,APC,"Ly-49E/F Antibody, anti-mouse, REAfinity™",,,,,yes,no,,KLRA5; KLRA6; LY-49F; LY49E; LY49F,REA,Miltenyi
mouse,Ly-49E/F,REA218,130-102-696,FITC,"Ly-49E/F Antibody, anti-mouse, REAfinity™",,,,,yes,no,,KLRA5; KLRA6; LY-49F; LY49E; LY49F,REA,Miltenyi
mouse,Ly-49E/F,REA218,130-102-697,PE,"Ly-49E/F Antibody, anti-mouse, REAfinity™",,,,,yes,no,,KLRA5; KLRA6; LY-49F; LY49E; LY49F,REA,Miltenyi
mouse,Ly-49G2,4D11,130-102-287,APC,"Ly-49G2 Antibody, anti-mouse",,,,,no,yes,,KLRA7; LGL-1; LY-49G.1; LY-49G.2; LY-49G.3; LY49G; LY49G.4; LY49G1; LY49G2,Hybridoma,Miltenyi
mouse,Ly-49G2,4D11,130-102-332,PE,"Ly-49G2 Antibody, anti-mouse",,,,,no,yes,,KLRA7; LGL-1; LY-49G.1; LY-49G.2; LY-49G.3; LY49G; LY49G.4; LY49G1; LY49G2,Hybridoma,Miltenyi
mouse,Ly-49G2,REA1053,130-118-034,APC,"Ly-49G2 Antibody, anti-mouse, REAfinity™",,,,,no,yes,,KLRA7; LGL-1; LY-49G.1; LY-49G.2; LY-49G.3; LY49G; LY49G.4; LY49G1; LY49G2,REA,Miltenyi
mouse,Ly-49G2,REA1053,130-118-032,FITC,"Ly-49G2 Antibody, anti-mouse, REAfinity™",,,,,no,yes,,KLRA7; LGL-1; LY-49G.1; LY-49G.2; LY-49G.3; LY49G; LY49G.4; LY49G1; LY49G2,REA,Miltenyi
mouse,Ly-49G2,REA1053,130-118-033,PE,"Ly-49G2 Antibody, anti-mouse, REAfinity™",,,,,no,yes,,KLRA7; LGL-1; LY-49G.1; LY-49G.2; LY-49G.3; LY49G; LY49G.4; LY49G1; LY49G2,REA,Miltenyi
mouse,Ly-49H,REA241,130-102-705,APC,"Ly-49H Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CMV-1; CMV1; KLRA8; LY49H; LY49U<129>,REA,Miltenyi
mouse,Ly-49H,REA241,130-102-703,FITC,"Ly-49H Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CMV-1; CMV1; KLRA8; LY49H; LY49U<129>,REA,Miltenyi
mouse,Ly-49H,REA241,130-102-704,PE,"Ly-49H Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CMV-1; CMV1; KLRA8; LY49H; LY49U<129>,REA,Miltenyi
mouse,Ly-6B.2,REA115,130-102-322,APC,"Ly-6B.2 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,LY6B,REA,Miltenyi
mouse,Ly-6B.2,REA115,130-132-438,FITC,"Ly-6B.2 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,LY6B,REA,Miltenyi
mouse,Ly-6B.2,REA115,130-126-370,PE,"Ly-6B.2 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,LY6B,REA,Miltenyi
mouse,Ly-6C,REA796,130-111-917,APC,"Ly-6C Antibody, anti-mouse, REAfinity™",,,,,yes,no,,AA682074; AA959465; LY-6C; LY-6C.2; LY-6C1; LY-6C2; LY6C; LY6C1; LY6C2,REA,Miltenyi
mouse,Ly-6C,REA796,130-111-915,FITC,"Ly-6C Antibody, anti-mouse, REAfinity™",,,,,yes,no,,AA682074; AA959465; LY-6C; LY-6C.2; LY-6C1; LY-6C2; LY6C; LY6C1; LY6C2,REA,Miltenyi
mouse,Ly-6C,REA796,130-111-916,PE,"Ly-6C Antibody, anti-mouse, REAfinity™",,,,,yes,no,,AA682074; AA959465; LY-6C; LY-6C.2; LY-6C1; LY-6C2; LY6C; LY6C1; LY6C2,REA,Miltenyi
mouse,Ly-6C,REAL451,130-125-257,APC,"Ly-6C Antibody, anti-mouse, REAlease®",,,,,,yes,,AA682074; AA959465; LY-6C; LY-6C.2; LY-6C1; LY-6C2; LY6C; LY6C1; LY6C2,REAL,Miltenyi
mouse,Ly-6C,REAL451,130-120-873,PE,"Ly-6C Antibody, anti-mouse, REAlease®",,,,,,yes,,AA682074; AA959465; LY-6C; LY-6C.2; LY-6C1; LY-6C2; LY6C; LY6C1; LY6C2,REAL,Miltenyi
mouse,Ly-6G,1A8,130-123-564,APC,"Ly-6G Antibody, anti-mouse",,,,,yes,yes,,GR-1; GR1; LY-6G; LY6G,Hybridoma,Miltenyi
mouse,Ly-6G,1A8,130-102-296,FITC,"Ly-6G Antibody, anti-mouse",,,,,yes,yes,,GR-1; GR1; LY-6G; LY6G,Hybridoma,Miltenyi
mouse,Ly-6G,1A8,130-123-712,PE,"Ly-6G Antibody, anti-mouse",,,,,yes,yes,,GR-1; GR1; LY-6G; LY6G,Hybridoma,Miltenyi
mouse,Ly-6G,REA526,130-120-803,APC,"Ly-6G Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,GR-1; GR1; LY-6G; LY6G,REA,Miltenyi
mouse,Ly-6G,REA526,130-120-820,FITC,"Ly-6G Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,GR-1; GR1; LY-6G; LY6G,REA,Miltenyi
mouse,Ly-6G,REA526,130-123-780,PE,"Ly-6G Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,GR-1; GR1; LY-6G; LY6G,REA,Miltenyi
mouse,Ly-6G,REAL176,130-119-910,FITC,"Ly-6G Antibody, anti-mouse, REAlease®",,,,,,yes,,GR-1; GR1; LY-6G; LY6G,REAL,Miltenyi
mouse,Ly-6G,REAL176,130-119-914,PE,"Ly-6G Antibody, anti-mouse, REAlease®",,,,,,yes,,GR-1; GR1; LY-6G; LY6G,REAL,Miltenyi
human,LYVE-1,REAL1161,130-128-001,FITC,"LYVE-1 Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,LYVE1; HAR; XLKD1; LYVE-1; CRSBP-1,REAL,Miltenyi
"human, mouse",MAP2,REAL882,130-127-116,FITC,"MAP2 Antibody, anti-human, REAdye_lease™",yes,yes,no,,,yes,,MAP2; MAP-2; MAP2A; MAP2B; MAP2C; MTAP2; MTAP-2; REPRO4; G1-397-34,REAL,Miltenyi
"human, mouse",MAP2,REAL1048,130-128-142,PE,"MAP2 Antibody, anti-human/mouse, REAdye_lease™",no,yes,yes,,,no,,MAP2; MAP-2; MAP2A; MAP2B; MAP2C; MTAP2; MTAP-2; REPRO4; G1-397-34,REAL,Miltenyi
human,MART-1,REA1093,130-118-610,APC,"MART-1 Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,MART-1; MART1; MLANA,REA,Miltenyi
human,MART-1,REA1093,130-118-608,FITC,"MART-1 Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,MART-1; MART1; MLANA,REA,Miltenyi
human,MART-1,REA1093,130-118-609,PE,"MART-1 Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,MART-1; MART1; MLANA,REA,Miltenyi
human,Maspin,REAL1363,130-131-857,Vio B515,"Maspin Antibody, anti-human, REAdye_lease™",,,yes,,,,,SERPINB5; PI5; maspin,REAL,Miltenyi
human,Mast Cell Tryptase,REAL798,130-125-278,APC,"Mast Cell Tryptase Antibody, anti-human, REAdye_lease™",no,no,yes,yes,,,,TPSAB1; TPS1; TPS2; TPSB1; TPSB2; Tryptase-2,REAL,Miltenyi
human,Mast Cell Tryptase,REAL798,130-125-268,FITC,"Mast Cell Tryptase Antibody, anti-human, REAdye_lease™",no,no,yes,yes,,,,TPSAB1; TPS1; TPS2; TPSB1; TPSB2; Tryptase-2,REAL,Miltenyi
human,Mast Cell Tryptase,REAL798,130-125-273,PE,"Mast Cell Tryptase Antibody, anti-human, REAdye_lease™",no,no,yes,yes,,,,TPSAB1; TPS1; TPS2; TPSB1; TPSB2; Tryptase-2,REAL,Miltenyi
human,MBP,REAL1538,130-134-205,PE,"MBP Antibody, anti-human, REAdye_lease™",,,yes,,,,,C76307; GOLLI-MBP; HMBPR; JVE; MBP; MLD; R75289; SHI; MBPS,REAL,Miltenyi
human,MBP,REAL1538,130-134-199,Vio B515,"MBP Antibody, anti-human, REAdye_lease™",,,yes,,,,,C76307; GOLLI-MBP; HMBPR; JVE; MBP; MLD; R75289; SHI; MBPS,REAL,Miltenyi
"human, mouse, rat",MBP,REA1154,130-120-343,APC,"MBP Antibody, anti-human/mouse, REAfinity™",,,,,,yes,,C76307; GOLLI-MBP; HMBPR; JVE; MBP; MLD; R75289; SHI; MBPS,REA,Miltenyi
"human, mouse, rat",MBP,REA1154,130-120-341,FITC,"MBP Antibody, anti-human/mouse, REAfinity™",,,,,,yes,,C76307; GOLLI-MBP; HMBPR; JVE; MBP; MLD; R75289; SHI; MBPS,REA,Miltenyi
"human, mouse, rat",MBP,REA1154,130-120-342,PE,"MBP Antibody, anti-human/mouse, REAfinity™",,,,,,yes,,C76307; GOLLI-MBP; HMBPR; JVE; MBP; MLD; R75289; SHI; MBPS,REA,Miltenyi
human,Melanocyte PMEL,REA927,130-115-474,APC,"Melanocyte PMEL Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,D12S53E; GP100; ME20; ME20-M; ME20M; P1; P10017; PMEL; SI; SIL; SILV,REA,Miltenyi
human,Melanocyte PMEL,REA927,130-115-472,FITC,"Melanocyte PMEL Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,D12S53E; GP100; ME20; ME20-M; ME20M; P1; P10017; PMEL; SI; SIL; SILV,REA,Miltenyi
human,Melanocyte PMEL,REA927,130-115-473,PE,"Melanocyte PMEL Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,D12S53E; GP100; ME20; ME20-M; ME20M; P1; P10017; PMEL; SI; SIL; SILV,REA,Miltenyi
mouse,Mer,REA477,130-128-215,APC,"Mer Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,EYK; MER; MERTK; NMF12; NYK,REA,Miltenyi
mouse,Mer,REA477,130-123-777,PE,"Mer Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,EYK; MER; MERTK; NMF12; NYK,REA,Miltenyi
human,Metallothionein,REAL639,130-126-437,PE,"Metallothionein Antibody, anti-human, REAdye_lease™",,,yes,,,,,MT-0; MT-1A; MT-1B; MT-1E; MT-1H; MT-1L; MT-1M; MT-2; MT-IA; MT-IB; MT-IE; MT-IH; MT-II; MT-IM; MT1; MT1A; MT1B; MT1E; MT1F; MT1G; MT1H; MT1K; MT1L; MT1M; MT1Q; MT1R; MT1S; MT1X; MT2; MT2A; MTC; MTD; MTF; MTP,REAL,Miltenyi
human,Metallothionein,REAL639,130-135-434,Vio B515,"Metallothionein Antibody, anti-human, REAdye_lease™",,,yes,,,,,MT-0; MT-1A; MT-1B; MT-1E; MT-1H; MT-1L; MT-1M; MT-2; MT-IA; MT-IB; MT-IE; MT-IH; MT-II; MT-IM; MT1; MT1A; MT1B; MT1E; MT1F; MT1G; MT1H; MT1K; MT1L; MT1M; MT1Q; MT1R; MT1S; MT1X; MT2; MT2A; MTC; MTD; MTF; MTP,REAL,Miltenyi
human,Metallothionein,REAL639,130-135-444,Vio R667,"Metallothionein Antibody, anti-human, REAdye_lease™",,,yes,,,,,MT-0; MT-1A; MT-1B; MT-1E; MT-1H; MT-1L; MT-1M; MT-2; MT-IA; MT-IB; MT-IE; MT-IH; MT-II; MT-IM; MT1; MT1A; MT1B; MT1E; MT1F; MT1G; MT1H; MT1K; MT1L; MT1M; MT1Q; MT1R; MT1S; MT1X; MT2; MT2A; MTC; MTD; MTF; MTP,REAL,Miltenyi
human,Metallothionein,REA1139,130-119-550,APC,"Metallothionein Antibody, anti-human, REAfinity™",,,yes,,,,,MT-0; MT-1A; MT-1B; MT-1E; MT-1H; MT-1L; MT-1M; MT-2; MT-IA; MT-IB; MT-IE; MT-IH; MT-II; MT-IM; MT1; MT1A; MT1B; MT1E; MT1F; MT1G; MT1H; MT1K; MT1L; MT1M; MT1Q; MT1R; MT1S; MT1X; MT2; MT2A; MTC; MTD; MTF; MTP,REA,Miltenyi
human,Metallothionein,REA1139,130-119-548,FITC,"Metallothionein Antibody, anti-human, REAfinity™",,,yes,,,,,MT-0; MT-1A; MT-1B; MT-1E; MT-1H; MT-1L; MT-1M; MT-2; MT-IA; MT-IB; MT-IE; MT-IH; MT-II; MT-IM; MT1; MT1A; MT1B; MT1E; MT1F; MT1G; MT1H; MT1K; MT1L; MT1M; MT1Q; MT1R; MT1S; MT1X; MT2; MT2A; MTC; MTD; MTF; MTP,REA,Miltenyi
human,Metallothionein,REA1139,130-119-549,PE,"Metallothionein Antibody, anti-human, REAfinity™",,,yes,,,,,MT-0; MT-1A; MT-1B; MT-1E; MT-1H; MT-1L; MT-1M; MT-2; MT-IA; MT-IB; MT-IE; MT-IH; MT-II; MT-IM; MT1; MT1A; MT1B; MT1E; MT1F; MT1G; MT1H; MT1K; MT1L; MT1M; MT1Q; MT1R; MT1S; MT1X; MT2; MT2A; MTC; MTD; MTF; MTP,REA,Miltenyi
mouse,MHC Class II,M5/114.15.2,130-123-785,APC,"MHC Class II Antibody, anti-mouse",,,,,yes,yes,,ABETA; AI845868; H-2AB; H2-AB; H2-AB1; I-ABETA; IA-2; IA2; IAB; RMCS1,Hybridoma,Miltenyi
mouse,MHC Class II,M5/114.15.2,130-123-666,FITC,"MHC Class II Antibody, anti-mouse",,,,,yes,yes,,ABETA; AI845868; H-2AB; H2-AB; H2-AB1; I-ABETA; IA-2; IA2; IAB; RMCS1,Hybridoma,Miltenyi
mouse,MHC Class II,M5/114.15.2,130-102-186,PE,"MHC Class II Antibody, anti-mouse",,,,,yes,yes,,ABETA; AI845868; H-2AB; H2-AB; H2-AB1; I-ABETA; IA-2; IA2; IAB; RMCS1,Hybridoma,Miltenyi
mouse,MHC Class II,REA813,130-112-388,APC,"MHC Class II Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,ABETA; AI845868; H-2AB; H2-AB; H2-AB1; I-ABETA; IA-2; IA2; IAB; RMCS1,REA,Miltenyi
mouse,MHC Class II,REA813,130-112-386,FITC,"MHC Class II Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,ABETA; AI845868; H-2AB; H2-AB; H2-AB1; I-ABETA; IA-2; IA2; IAB; RMCS1,REA,Miltenyi
mouse,MHC Class II,REA813,130-112-387,PE,"MHC Class II Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,ABETA; AI845868; H-2AB; H2-AB; H2-AB1; I-ABETA; IA-2; IA2; IAB; RMCS1,REA,Miltenyi
mouse,MHC Class II (I-Ab),REA528,130-107-942,APC,"MHC Class II (I-Ab) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,ABETA; AI845868; H-2AB; H2-AB; H2-AB1; I-ABETA; IA-2; IA2; IAB; RMCS1,REA,Miltenyi
mouse,MHC Class II (I-Ab),REA528,130-117-541,PE,"MHC Class II (I-Ab) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,ABETA; AI845868; H-2AB; H2-AB; H2-AB1; I-ABETA; IA-2; IA2; IAB; RMCS1,REA,Miltenyi
mouse,MHC Class II (I-Ak),REA610,130-109-273,APC,"MHC Class II (I-Ak) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,AALPHA; H-2AA; H2-AA; H2AA; I-AALPHA; IA-1; IA1; IAALPHA,REA,Miltenyi
mouse,MHC Class II (I-Ak),REA610,130-109-272,PE,"MHC Class II (I-Ak) Antibody, anti-mouse, REAfinity™",,,,,yes,no,,AALPHA; H-2AA; H2-AA; H2AA; I-AALPHA; IA-1; IA1; IAALPHA,REA,Miltenyi
"mouse, rat",MHC Class II (I-Ek),REA510,130-107-821,APC,"MHC Class II (I-Ek) Antibody, anti-mouse/rat, REAfinity™",,,,,yes,,,DB1; EB; H-2EB; H2-EB1; H2EB; IA-4; IA4; RT1-DB1; RT1-DBN,REA,Miltenyi
"mouse, rat",MHC Class II (I-Ek),REA510,130-132-439,FITC,"MHC Class II (I-Ek) Antibody, anti-mouse/rat, REAfinity™",,,,,yes,,,DB1; EB; H-2EB; H2-EB1; H2EB; IA-4; IA4; RT1-DB1; RT1-DBN,REA,Miltenyi
"mouse, rat",MHC Class II (I-Ek),REA510,130-107-820,PE,"MHC Class II (I-Ek) Antibody, anti-mouse/rat, REAfinity™",,,,,yes,,,DB1; EB; H-2EB; H2-EB1; H2EB; IA-4; IA4; RT1-DB1; RT1-DBN,REA,Miltenyi
"human, mouse, rat",MLC2a,REA398,130-118-546,APC,"MLC2a Antibody, anti-human/mouse/rat, REAfinity™",,,no,,yes,yes,yes,MLC-2ALPHA; MLC2A; MYL2A; MYL7; MYLC2A; RLC-A,REA,Miltenyi
"human, mouse, rat",MLC2a,REA398,130-106-141,FITC,"MLC2a Antibody, anti-human/mouse/rat, REAfinity™",,,no,,yes,yes,yes,MLC-2ALPHA; MLC2A; MYL2A; MYL7; MYLC2A; RLC-A,REA,Miltenyi
"human, mouse, rat",MLC2a,REA398,130-117-397,PE,"MLC2a Antibody, anti-human/mouse/rat, REAfinity™",,,no,,yes,yes,yes,MLC-2ALPHA; MLC2A; MYL2A; MYL7; MYLC2A; RLC-A,REA,Miltenyi
"human, mouse, rat",MLC2v,REA401,130-123-847,APC,"MLC2v Antibody, anti-human/mouse/rat, REAfinity™",,,yes,,yes,yes,yes,CMH10; MLC-2; MLC-2S/V; MLC-2V; MLC2; MLC2V; MYL2; MYLPC,REA,Miltenyi
"human, mouse, rat",MLC2v,REA401,130-119-581,PE,"MLC2v Antibody, anti-human/mouse/rat, REAfinity™",,,yes,,yes,yes,yes,CMH10; MLC-2; MLC-2S/V; MLC-2V; MLC2; MLC2V; MYL2; MYLPC,REA,Miltenyi
mouse,Mog,REAL797,130-128-463,APC,"Mog Antibody, anti-mouse, REAdye_lease™",,,,,,yes,,MOG; B230317G11RIK,REAL,Miltenyi
mouse,Mog,REAL797,130-128-468,PE,"Mog Antibody, anti-mouse, REAdye_lease™",,,,,,yes,,MOG; B230317G11RIK,REAL,Miltenyi
human,MPO,REA491,130-119-786,APC,"MPO Antibody, anti-human, REAfinity™",no,yes,no,,,,,MPO,REA,Miltenyi
human,MPO,REA491,130-120-241,FITC,"MPO Antibody, anti-human, REAfinity™",no,yes,no,,,,,MPO,REA,Miltenyi
human,MPO,REA491,130-120-062,PE,"MPO Antibody, anti-human, REAfinity™",no,yes,no,,,,,MPO,REA,Miltenyi
human,MRP1,REA481,130-107-468,APC,"MRP1 Antibody, anti-human, REAfinity™",yes,no,no,,,,,ABC29; ABCC; ABCC1; GS-X; MRP; MRP1,REA,Miltenyi
human,MRP1,REA481,130-132-454,FITC,"MRP1 Antibody, anti-human, REAfinity™",yes,no,no,,,,,ABC29; ABCC; ABCC1; GS-X; MRP; MRP1,REA,Miltenyi
human,MRP1,REA481,130-130-019,PE,"MRP1 Antibody, anti-human, REAfinity™",yes,no,no,,,,,,REA,Miltenyi
human,MRP14,REA859,130-114-517,APC,"MRP14 Antibody, anti-human, REAfinity™",,,yes,,,,,S100A9; 60B8AG; CAGB; CFAG; CGLB; L1AG; LIAG; MAC387; MIF; MRP14; NIF; P14,REA,Miltenyi
human,MRP14,REA859,130-114-515,FITC,"MRP14 Antibody, anti-human, REAfinity™",,,yes,,,,,S100A9; 60B8AG; CAGB; CFAG; CGLB; L1AG; LIAG; MAC387; MIF; MRP14; NIF; P14,REA,Miltenyi
human,MRP14,REA859,130-114-516,PE,"MRP14 Antibody, anti-human, REAfinity™",,,yes,,,,,S100A9; 60B8AG; CAGB; CFAG; CGLB; L1AG; LIAG; MAC387; MIF; MRP14; NIF; P14,REA,Miltenyi
human,Mucin-2,REAL1317,130-130-222,APC,"Mucin-2 Antibody, anti-human, REAdye_lease™",,,yes,,,,,MUC2; MLP; SMUC; MUC-2,REAL,Miltenyi
human,Mucin-2,REAL1317,130-130-226,FITC,"Mucin-2 Antibody, anti-human, REAdye_lease™",,,yes,,,,,MUC2; MLP; SMUC; MUC-2,REAL,Miltenyi
human,Mucin-2,REAL1317,130-130-220,PE,"Mucin-2 Antibody, anti-human, REAdye_lease™",,,yes,,,,,MUC2; MLP; SMUC; MUC-2,REAL,Miltenyi
human,Mucin-5AC,REAL915,130-127-552,PE,"Mucin-5AC Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,MUC5AC; TBM; LEB; MUC5; MUCIN,REAL,Miltenyi
human,MYH7B,REAL1165,130-128-914,APC,"MYH7B Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,MYH7B; MHC14; MYH14,REAL,Miltenyi
human,MYH7B,REAL1165,130-128-916,FITC,"MYH7B Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,MYH7B; MHC14; MYH14,REAL,Miltenyi
human,MYH7B,REAL1165,130-128-921,PE,"MYH7B Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,MYH7B; MHC14; MYH14,REAL,Miltenyi
"human, mouse, rat",Myogenin,REA930,130-115-486,APC,"Myogenin Antibody, anti-human/mouse/rat, REAfinity™",,,yes,,,,,BHLHC3; MYF-4; MYF4; MYO; MYOG,REA,Miltenyi
"human, mouse, rat",Myogenin,REA930,130-115-484,FITC,"Myogenin Antibody, anti-human/mouse/rat, REAfinity™",,,yes,,,,,BHLHC3; MYF-4; MYF4; MYO; MYOG,REA,Miltenyi
"human, mouse, rat",Myogenin,REA930,130-115-485,PE,"Myogenin Antibody, anti-human/mouse/rat, REAfinity™",,,yes,,,,,BHLHC3; MYF-4; MYF4; MYO; MYOG,REA,Miltenyi
"human, mouse, rat",Myosin Heavy Chain,REA399,130-122-924,APC,"Myosin Heavy Chain Antibody, anti-human/mouse/rat, REAfinity™",,yes,yes,,yes,yes,yes,MYH6; ASD3; MYHC; SSS3; CMH14; MYHCA; CMD1EE; alpha-MHC; MYH7; CMH1; MPD1; SPMD; SPMM; CMD1S; MYHCB; MYH7B; MHC14; MYH14; alph; Myhc-; Myhc-a; AA517445; alphaMHC; A830009F23Rik; B-MHC; MyHC-I; Myhc-b; betaMH; beta-MH; betaMHC; beta-MHC; myHC-beta; myHC-slow; MYH-beta/slow; Myosin-7; Bmyo,REA,Miltenyi
human,Myosin Smooth Muscle,REA1107,130-119-315,APC,"Myosin Smooth Muscle Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,AAT4; FAA4; MYH11; SMHC; SMMHC,REA,Miltenyi
human,Myosin Smooth Muscle,REA1107,130-119-313,FITC,"Myosin Smooth Muscle Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,AAT4; FAA4; MYH11; SMHC; SMMHC,REA,Miltenyi
human,Myosin Smooth Muscle,REA1107,130-119-314,PE,"Myosin Smooth Muscle Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,AAT4; FAA4; MYH11; SMHC; SMMHC,REA,Miltenyi
human,Myosin-1,REAL1157,130-130-223,FITC,"Myosin-1 Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,"MYH1; HEL71, MYHSA1, MYHa, MyHC-2X/D, MyHC-2x",REAL,Miltenyi
human,Nanog,REA314,130-120-704,APC,"Nanog Antibody, anti-human, REAfinity™",no,yes,yes,,,,,NANOG,REA,Miltenyi
